Time (sec), Theta_0, Theta_1, Theta_2, Theta_3, Theta_4, ThetaDes_0, ThetaDes_1, ThetaDes_2, ThetaDes_3, ThetaDes_4
5.033000, -0.001751, -0.001751, 0.416397, -0.917761, -0.953865, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.034000, 0.000909, 0.000909, 0.416429, -0.917901, -0.953944, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.034000, -0.000693, -0.000693, 0.416461, -0.917773, -0.954037, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.034000, 0.001956, 0.001956, 0.416491, -0.917913, -0.954117, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.034000, 0.000273, 0.000273, 0.416521, -0.917787, -0.954211, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.034000, 0.002880, 0.002880, 0.416550, -0.917926, -0.954293, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.035000, 0.001095, 0.001095, 0.416579, -0.917801, -0.954388, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.035000, 0.003665, 0.003665, 0.416607, -0.917940, -0.954472, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.043000, 0.001828, 0.001828, 0.416637, -0.917816, -0.954570, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.044000, 0.004463, 0.004463, 0.416665, -0.917956, -0.954657, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.044000, 0.002704, 0.002704, 0.416695, -0.917833, -0.954757, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.044000, 0.005230, 0.005230, 0.416725, -0.917972, -0.954846, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.045000, 0.003368, 0.003368, 0.416756, -0.917850, -0.954950, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.045000, 0.005798, 0.005798, 0.416786, -0.917990, -0.955044, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.045000, 0.003856, 0.003856, 0.416819, -0.917868, -0.955152, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.045000, 0.006182, 0.006182, 0.416851, -0.918008, -0.955250, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.046000, 0.004159, 0.004159, 0.416885, -0.917888, -0.955362, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.046000, 0.006408, 0.006408, 0.416919, -0.918027, -0.955465, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.046000, 0.004324, 0.004324, 0.416955, -0.917908, -0.955582, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.047000, 0.006486, 0.006486, 0.416991, -0.918047, -0.955689, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.047000, 0.004353, 0.004353, 0.417030, -0.917930, -0.955811, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.047000, 0.006451, 0.006451, 0.417069, -0.918069, -0.955923, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.047000, 0.004256, 0.004256, 0.417110, -0.917952, -0.956051, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.047000, 0.006280, 0.006280, 0.417151, -0.918091, -0.956168, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.048000, 0.004031, 0.004031, 0.417195, -0.917976, -0.956300, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.048000, 0.006009, 0.006009, 0.417239, -0.918115, -0.956422, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.048000, 0.003734, 0.003734, 0.417286, -0.918000, -0.956559, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.048000, 0.005650, 0.005650, 0.417333, -0.918139, -0.956686, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.049000, 0.003334, 0.003334, 0.417383, -0.918026, -0.956828, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.049000, 0.005219, 0.005219, 0.417433, -0.918164, -0.956960, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.049000, 0.002891, 0.002891, 0.417486, -0.918052, -0.957106, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.050000, 0.004727, 0.004727, 0.417539, -0.918190, -0.957243, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5.050000, 0.002385, 0.002385, 0.417595, -0.918079, -0.957394, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
